Tag,Question ID,Title,Creation Date,Answer Count,View Count,Score
java;spring-boot;spring-data-jpa,77738570,Error: connect ECONNREFUSED 127.0.0.1:8080 in postman java springboot,1704009465,0,21,0
java;properties;resourcebundle,77738766,Why is this a MIssingResourceException?,1704016100,0,14,-2
java;android;gradle,24098494,&#39;:app:lintVitalRelease&#39; error when generating signed apk,1402153082,28,218718,277
java;burp,67360622,Burp Suite SSL ERROR HANDSHAKE FAILURE ALERT OR ERR SSL PROTOCOL ERROR,1619985615,2,2252,3
java;imagej;fiji,77719356,Error message after using train+ predict in Noise2Void,1703630500,0,18,0
java;inheritance;classcastexception,25326534,Why a ClassCastException but not a compilation error?,1408106253,4,1472,6
java;spring-boot;hibernate;exception;jdbc,77737918,org.h2.jdbc.JdbcSQLIntegrityConstraintViolationException: NULL not allowed for column &quot;STOCK&quot; Error,1703984995,0,14,0
java;docker;maven;jib,77734564,Jib Maven Plugin Error: &quot;Missing target image parameter&quot; When Building Docker Image,1703898916,0,20,0
java;docker,77737055,Docker logs exception on docer desktop. Exception in thread &quot;main&quot; java.util.NoSuchElementException,1703962023,1,29,-3
java;selenium-webdriver;staleelementreferenceexception,77703649,StaleElementException while iterating over list of web elements,1703248099,0,28,-1
java;spring;docker;lombok,77736789,Compiling error with LOG field from @Slf4j Lombok when compiling inside docker,1703956549,0,44,-3
java;exception,43672300,what does it mean -&gt; public static void main(String[] args) throws IOException,1493355733,4,19680,-3
java;beanshell;sailpoint,77727341,Getting below error while aggregating the groups from delimited file,1703772329,1,47,0
java;spring;spring-boot;multipart,77736372,Why does getFile() in org.springframework.core.io.AbstractResource throw an exception?,1703949311,2,46,0
java;android;android-studio;twilio,77736927,shows error 31008 while doing client to client call in Twilio,1703959457,0,23,0
java;unit-testing;junit;junit5,77736875,StackOverFlow error when I try to mock ArrayList,1703958277,0,30,-1
java;kotlin;gradle;xmlnode,76988533,java.lang.NoClassDefFoundError: io/mockk/proxy/jvm/advice/jvm/JvmMockKProxyInterceptor ERROR while mocking org.w3c.dom.Node using mockk,1693162969,2,138,1
java;android-intent;notifications;alarmmanager;android-anr-dialog,77734466,Context.startForegroundService() did not then call Service.startForeground() error on scheduled AlarmClockInfo while existing Service already,1703895846,1,10,0
java;netbeans;combobox;hashmap,77736654,How do I fix an error - throw new UnsupportedOperationException(&quot;Not supported yet.&quot;);,1703954329,0,27,-5
java;eclipse;file;exception,77736379,Why FileNotFoundException,1703949512,0,50,-3
java;csv;randomaccessfile,77735645,Error when changing value in csv file using random access file,1703933293,1,33,0
java;android;sql,77726539,Unable to connect to local server facing Network error IOException: connect failed: ETIMEDOUT (Connection timed out),1703762162,0,45,-1
java;android;android-fragments;android-intent,77732202,Even though I didn&#39;t send any data via intent I get this error: FAILED BINDER TRANSACTION,1703856059,1,28,0
java,77736132,"JAVAFX, FXML java.lang.reflect.InvocationTargetException",1703944415,0,20,-3
java;mongodb;morphia,77735950,An error occurred when creating a datastore instance using Morphia,1703940236,1,28,-3
java;database;sqlite,77735891,Getting java.sql.SQLException: SQLite JDBC internal error: rs.isOpen() on exec,1703939052,0,20,-5
java;user-interface;helper,77735824,"A error saying (Syntax error on token &quot;.&quot;, @ expected after this token)",1703937160,0,14,-2
java;intellij-idea,77731449,Intellij idea running build is failing with NoSuchMethodError: getTypographicFamilyName(),1703846100,0,25,-1
java;sql;jpa;jdbc;procedure,77735065,Calling a sql function from java gives error,1703918260,0,45,0
java;azure;maven;jackson;noclassdeffounderror,77733648,NoClassDefFoundError: com/fasterxml/jackson/databind/AnnotationIntrospector$XmlExtensions,1703877456,0,35,-3
java;spring-boot;apache-spark;cassandra;spark-cassandra-connector,55494154,How to fix org.apache.spark.SparkException: Job aborted due to stage failure Task &amp; com.datastax.spark.connector.rdd.partitioner.CassandraPartition,1554291170,1,13010,2
java;postgresql;hibernate;wildfly;entitymanager,40561414,Getting a nullpointerexception for my EntityManager,1478942658,2,12247,5
java;rest;loopbackjs;strongloop,27553708,HTTP/1.1 422 Unprocessable Entity Error when sending data to LoopBack from Java client,1418928861,1,8272,4
java;log4j2,77721145,How can I log all &quot;Caused by&quot; exceptions with log4j2 (json)?,1703670275,2,69,1
java;oracle;mybatis,77733919,Java MyBatis Call a custom function in mapper to get secure information receive Error Oracle ORA-00904,1703881899,1,33,1
java;derby;javadb,71541745,I keep getting this error messages when try to use javadb,1647721229,2,8460,0
java;xml;web-services;soap,32176763,Couldn&#39;t create SOAP message due to exception: Unable to create StAX reader or writer at com.sun.xml.internal.ws.encoding.SOAPBindingCodec.decode,1440401834,1,13333,1
java;hibernate;validation;maven;hibernate-validator,24386771,javax.validation.ValidationException: HV000183: Unable to load &#39;javax.el.ExpressionFactory&#39;,1403613247,16,165501,137
java;eclipse;unit-testing;junit;noclassdeffounderror,4228047,java.lang.NoClassDefFoundError in junit,1290190214,18,208566,91
java;csv;parsing;java.util.scanner;indexoutofboundsexception,77732809,Strange error when trying to parse large TSV file in Java,1703864910,1,34,-2
java;android;beanshell,77733275,"Beanshell syntax parsing error (lambdas, returns...)",1703871497,0,8,-1
java;spring;spring-boot;spring-mvc,77732979,ERROR: No primary or single unique constructor found for class [Ldsawmain.entity.vo.TagVO;,1703867247,0,31,0
java;android;gradle,72184143,Caused by: java.util.zip.ZipException: zip END header not found,1652176187,1,16059,0
java;eclipse;maven,72837802,Eclipse maven exception java.lang.ExceptionInInitializerError: Cannot access defaults field of Properties [in thread &quot;Worker-27: Building&quot;],1656752503,2,6348,1
java;spring-boot;rest;maven;junit,77731274,Error while trying to return a list of objects from a rest api,1703843560,1,43,1
java;kotlin;concurrency;locking;concurrentmodificationexception,77730911,ConcurrentModificationException on a object wrapped with lock,1703837840,2,64,0
java;javafx;javafx-8;observablelist,32026419,JavaFX pane.getChildren().remove(child) throws IllegalArgumentException,1439653698,1,11490,0
java;hibernate;apache-axis,20822976,"The client to invoke an error is as follows:org.xml.sax.SAXException: SimpleDeserializer encountered a child element, which is NOT expected",1388301265,1,9387,0
java;android;gradle;android-gradle-plugin;android-multidex,77731876,"I am not able to build the apk file of the project, whenever I try to build I get thi error. dexBuilderDebug FAILED",1703851368,1,30,0
java;spring,39209450,i have this error java.lang.NoSuchMethodError,1472483089,3,8310,0
java;spring-boot;docker,77725624,Getting error while integrating docker-java api,1703749890,0,25,-1
java;chronicle-queue,77722653,Re-opening a chronicle queue results in exception,1703690053,1,16,-1
java;serialization;java-io;objectinputstream;objectoutputstream,77730454,ObjectInputStream constructor gives StreamCorruptedException: invalid stream header: EFBFBDEF,1703829327,0,28,0
java;gradle;intellij-idea;intellij-13,57216444,How to solve Error: Invalid or corrupt jarfile,1564131095,1,20462,2
java;docker;docker-compose;keycloak;keycloak-rest-api,77731509,Keycloak admin client always gives 401 Unauthorized exception,1703846971,0,27,0
java;exception;ioexception,77731145,Java error compilation while using checked exception,1703841681,1,27,0
java;jboss,10025763,Jboss - java.net.SocketException: Too many open files,1333616956,3,10098,3
java;sql;database;postgresql;hibernate,77730817,Java: PostgreSQL Hibernate ERROR: INSERT has more expressions than target columns,1703836266,1,52,-1
java;spring;maven;swagger,77730826,java.lang.NoSuchMethodError: &#39;boolean io.swagger.v3.oas.models.media.Schema.getExampleSetFlag()&#39;,1703836480,0,19,-1
java;parquet;apache-arrow,77730451,java.lang.NoSuchFieldError: chunkSize is visible when trying to run sample program of Apache Arrow,1703829253,0,18,0
java;spring;hibernate;mongodb;jpa,25821579,TransactionRequiredException Executing an update/delete query,1410598989,27,365280,134
java;http;tomcat,76571738,org.apache.coyote. CloseNowException: Failed write,1687943927,0,194,1
java;flyway,77729997,"When upgrade springboot from 2.7.2 to 3.1.2, we met below errors",1703816895,1,24,0
java;hibernate;jdbc;oracle11g,15063657,"java.sql.SQLException: ORA-12505, TNS:listener does not currently know of SID given in connect descriptor",1361784083,1,10123,1
java;reactjs;react-native;gradle;react-native-community,77729287,react native build issue on java version21 and android gradle 8.5 : Build failed with an exception,1703799585,1,29,-1
